Nom du projet,Adresse du projet,Code postal,Nombre d'arbres,Saison de plantation,Type d'école,Nom de l'école,Geo_shape,Geo_point_2d,Moyenne du nombre d'arbres,Médiane du nombre d'arbres,Ecart type du nombre d'arbres,Minimum du nombre d'arbres,Maximum du nombre d'arbres,Moyenne du nombre d'arbres plantés pour les écoles maternelles,Moyenne du nombre d'arbres plantés pour les écoles élémentaires,Moyenne du nombre d'arbres plantés pour les écoles polyvalentes,Moyenne du nombre d'arbres plantés pour les écoles maternelles et crèches,Moyenne du nombre d'arbres plantés pour les centres de ressources d'éducation à l'env
VERGER EE CLICHY (10),10 RUE DE CLICHY,75009,8,2016 - 2017,Ecole élémentaire,Ecole élémentaire Rue de Clichy,"{""coordinates"": [2.3307655991674365, 48.87781169708742], ""type"": ""Point""}","48.87781169708742, 2.3307655991674365",,,,,,,,,,
VERGER EE MIOLLIS (33 BIS),33B RUE MIOLLIS,75015,12,2017 - 2018,Ecole élémentaire,Ecole élémentaire Miollis,"{""coordinates"": [2.3029198735391923, 48.844731379226104], ""type"": ""Point""}","48.844731379226104, 2.3029198735391923",,,,,,,,,,
VERGER EM CHOISY (4 B) - Ph 2,4B AVENUE DE CHOISY,75013,3,2017 - 2018,Ecole maternelle,Ecole maternelle Choisy,"{""coordinates"": [2.365304920484119, 48.82063075045047], ""type"": ""Point""}","48.82063075045047, 2.365304920484119",,,,,,,,,,
VERGER EP MONTEMPOIVRE (16),16 RUE DE MONTEMPOIVRE,75012,6,2017 - 2018,Ecole maternelle,Ecole maternelle Montempoivre,"{""coordinates"": [2.4072033432662514, 48.83988128963225], ""type"": ""Point""}","48.83988128963225, 2.4072033432662514",,,,,,,,,,
VERGER EP PAJOL (11),11 RUE PAJOL,75018,5,2017 - 2018,Ecole polyvalente,Ecole polyvalente Pajol,"{""coordinates"": [2.360200627091724, 48.88562139653346], ""type"": ""Point""}","48.88562139653346, 2.360200627091724",,,,,,,,,,
VERGER EM POISSY (27),27 RUE DE POISSY,75005,7,2017 - 2018,Ecole maternelle,Ecole maternelle Poissy,"{""coordinates"": [2.352578697727945, 48.848505165176256], ""type"": ""Point""}","48.848505165176256, 2.352578697727945",,,,,,,,,,
VERGER EE AMANDIERS (103-111),103 RUE DES AMANDIERS,75020,5,2017 - 2018,Ecole élémentaire,Ecole élémentaire Amandiers,"{""coordinates"": [2.3882978203631566, 48.867644485188315], ""type"": ""Point""}","48.867644485188315, 2.3882978203631566",,,,,,,,,,
VERGER EM SAIDA (20),20 RUE DE LA SAIDA,75015,8,2014 - 2015,Ecole maternelle,Ecole maternelle Saida,"{""coordinates"": [2.294303689323122, 48.83207449637776], ""type"": ""Point""}","48.83207449637776, 2.294303689323122",,,,,,,,,,
VERGER EM BULLOURDE (4),4 PASSAGE BULLOURDE,75011,5,2016 - 2017,Ecole maternelle,Ecole maternelle Bullourde,"{""coordinates"": [2.3771693113989003, 48.854370701123074], ""type"": ""Point""}","48.854370701123074, 2.3771693113989003",,,,,,,,,,
VERGER EP CAMBON (28),28 RUE CAMBON,75001,4,2015 - 2016,Ecole polyvalente,Ecole polyvalente Cambon,"{""coordinates"": [2.3272052743688274, 48.867970023467194], ""type"": ""Point""}","48.867970023467194, 2.3272052743688274",,,,,,,,,,
VERGER EM ECLUSES ST MARTIN (28),28 RUE DES ECLUSES ST MARTIN,75010,14,2015 - 2016,Ecole maternelle,Ecole maternelle Ecluses St Martin,"{""coordinates"": [2.3664732415766716, 48.87742193436541], ""type"": ""Point""}","48.87742193436541, 2.3664732415766716",,,,,,,,,,
VERGER EE FBG ST-DENIS (34),34 RUE DU FAUBOURG ST-DENIS,75010,6,2016 - 2017,Ecole élémentaire,Ecole élémentaire Rue du faubourg Saint-Denis,"{""coordinates"": [2.354045255673977, 48.871004012096996], ""type"": ""Point""}","48.871004012096996, 2.354045255673977",,,,,,,,,,
VERGER EE GLACIERE (100),100 RUE DE LA GLACIERE,75013,5,2015 - 2016,Ecole élémentaire,Ecole élémentaire Glacière,"{""coordinates"": [2.342516247087297, 48.82999098688927], ""type"": ""Point""}","48.82999098688927, 2.342516247087297",,,,,,,,,,
VERGER EP HENRI NOGUERES (10),10 RUE HENRI NOGUERES,75019,10,2017 - 2018,Ecole polyvalente,Ecole polyvalente Henri Noguères,"{""coordinates"": [2.3749617305248467, 48.88463045417498], ""type"": ""Point""}","48.88463045417498, 2.3749617305248467",,,,,,,,,,
VERGER EE CARDINAL AMETTE (3),3 PLACE DU CARDINAL AMETTE,75015,4,2018 - 2019,Ecole élémentaire,Ecole élémentaire Cardinal Amette,"{""coordinates"": [2.2977629726586017, 48.850658397860535], ""type"": ""Point""}","48.850658397860535, 2.2977629726586017",,,,,,,,,,
VERGER EM PAUL ABADIE (1),1 RUE PAUL ABADIE,75018,6,2018 - 2019,Ecole maternelle,Ecole maternelle Paul Abadie,"{""coordinates"": [2.3351305861766463, 48.89692829153369], ""type"": ""Point""}","48.89692829153369, 2.3351305861766463",,,,,,,,,,
VERGER EE SIMON BOLIVAR (67),67 AVENUE SIMON BOLIVAR,75019,4,2018 - 2019,Ecole élémentaire,Ecole élémentaire Simon Bolivar,"{""coordinates"": [2.377165523931384, 48.87608244819661], ""type"": ""Point""}","48.87608244819661, 2.377165523931384",,,,,,,,,,
VERGER EE TLEMCEN (9),9 RUE TLEMCEN,75020,8,2019 - 2020,Ecole élémentaire,Ecole élémentaire Tlemcen,"{""coordinates"": [2.387056186103798, 48.86488597767208], ""type"": ""Point""}","48.86488597767208, 2.387056186103798",,,,,,,,,,
